Country,Year,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Sweetness,Moisture,Total,Species,Variety,Processing Method,Quality Category
Philippines,2015,7.58,7.58,7.67,7.58,7.5,7.5,10,10,0.11,82.92,Arabica,Other,Washed / Wet,MODERATE
Rwanda,2015,7.83,7.92,7.75,7.83,7.75,7.75,9.33,9.33,0.11,82.83,Arabica,Bourbon,Washed / Wet,MODERATE
Taiwan,2012,7.83,7.83,7.75,8,7.5,7.75,10,10,0.11,84.42,Arabica,Typica,Washed / Wet,MODERATE
"Tanzania, United Republic Of",2012,8.05,7.84,7.75,7.63,7.58,7.88,10,10,0.11,84.66,Arabica,Arusha,Natural / Dry,MODERATE
"Tanzania, United Republic Of",2013,7.33,7.33,7.5,7.25,7.42,7.33,10,10,0.12,81.67,Arabica,Other,Washed / Wet,MODERATE
"Tanzania, United Republic Of",2014,7.56,7.42,7.43,7.52,7.45,7.48,10,10,0.12,82.33,Arabica,Other,Washed / Wet,MODERATE
"Tanzania, United Republic Of",2015,7.67,7.47,7.44,7.47,7.53,7.47,10,10,0.13,82.56,Arabica,Bourbon,Washed / Wet,MODERATE
"Tanzania, United Republic Of",2016,7.42,7.46,7.38,7.55,7.59,7.46,10,10,0.06,82.42,Arabica,Bourbon,Unknown,MODERATE
Thailand,2011,7.43,7.61,7.51,7.65,7.58,7.61,10,10,0.1,82.97,Arabica,Unknown,Unknown,MODERATE
Thailand,2012,7.65,7.58,7.63,7.77,7.58,7.63,9.73,9.73,0.07,82.77,Arabica,Other,Washed / Wet,MODERATE
Thailand,2013,7.25,7.25,7.06,7.45,7.19,7.14,10,10,0.12,80.47,Arabica,Unknown,Washed / Wet,MODERATE
Thailand,2014,7.57,7.58,7.45,7.75,7.42,7.57,9.87,10,0.12,82.82,Arabica,Unknown,Washed / Wet,MODERATE
Thailand,2015,7.67,7.75,7.5,7.67,7.67,7.83,10,10,0.1,83.92,Arabica,Catimor,Natural / Dry,MODERATE
Uganda,2012,8.02,7.82,7.65,7.83,7.8,7.77,10,10,0.11,84.62,Arabica,Other,Washed / Wet,MODERATE
Uganda,2013,7.9,7.73,7.61,7.71,7.72,7.64,10,9.2,0.12,83.21,Arabica,SL14,Washed / Wet,MODERATE
Uganda,2014,7.87,7.83,7.73,7.7,7.7,7.7,10,8.6,0.09,82.97,Robusta,Unknown,Unknown,MODERATE
Uganda,2015,7.61,7.67,7.48,7.54,7.65,7.56,10,10,0.12,83.17,Arabica,Bourbon,Washed / Wet,MODERATE
Uganda,2016,8.05,7.84,7.71,7.75,7.75,7.75,10,10,0.11,84.75,Arabica,SL14,Washed / Wet,MODERATE
United States,2010,7.88,8.17,7.75,7.71,7.75,7.71,10,10,0.01,84.84,Arabica,Unknown,Unknown,MODERATE
United States,2011,7.08,7.33,7.17,7.25,7.33,7.67,10,10,0.13,80.75,Arabica,Arusha,Natural / Dry,MODERATE
United States,2012,7.57,7.62,7.5,7.63,7.62,7.68,9.7,9.71,0.07,82.34,Arabica,Hawaiian Kona,Natural / Dry,MODERATE
United States,2013,7.49,7.46,7.43,7.52,7.62,7.6,9.29,9.51,0.08,80.99,Arabica,Hawaiian Kona,Natural / Dry,MODERATE
United States,2014,7.63,7.64,7.59,7.7,7.72,7.65,9.27,9.4,0.05,81.62,Arabica,Hawaiian Kona,Natural / Dry,MODERATE
Vietnam,2012,7.67,7.67,7.17,7.33,7.88,7.25,10,10,0.06,82.5,Arabica,Other,Natural / Dry,MODERATE
Vietnam,2013,6.75,6.67,6.5,6.83,6.92,6.83,9.33,6.67,0.12,73.75,Robusta,Unknown,Natural / Dry,LOW
Vietnam,2014,7.33,7.44,7.47,7.5,7.56,7.47,9.78,10,0.08,82.53,Arabica,Caturra,Other,MODERATE
Vietnam,2017,7.5,7.34,7.17,7.46,7.5,7.96,9.34,10,0.04,81.67,Arabica,Catimor,Natural / Dry,MODERATE
Zambia,2014,7.67,7.08,7.42,7.33,7.75,7.42,10,10,0,81.92,Arabica,SL28,Washed / Wet,MODERATE
